id;title;year;total value;fot value;transport value;rent value;gph value;events value;royalties value;total share;fot share;transport share;rent share;gph share;events share;royalties share;total avgShare;fot avgShare;transport avgShare;rent avgShare;gph avgShare;events avgShare;royalties avgShare
7701046341;"""Московский театр ""Современник""";2025;348 285 230;137 988 576;6 810 429;11 548 322;42 929 949;0;89 752 475;1;0,396194167;0,019554172;0,033157656;0,123260896;0;0,257698194;1;0,537;0,012;0,017;0,053;0,007;0,114
7707086767;"ГБУК ""МГАТО""";2025;625 566 044;253 292 975;2 841 450;610 366;56 954 530;0;214 599 104;1;0,404902051;0,004542206;0,000975701;0,091044791;0;0,343047878;1;0,537;0,012;0,017;0,053;0,007;0,114
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";2025;188 354 542;67 446 953;1 406 625;5 644 278;36 900 284;0;13 469 918;1;0,35808509;0,007467962;0,029966243;0,195908649;0;0,071513633;1;0,537;0,012;0,017;0,053;0,007;0,114
7703014835;"ГБУК ""Московский театр ""На досках""";2025;3 533 127;3 336 850;0;0;0;0;0;1;0,94444672;0;0;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7701020760;"ГБУК ""МТК ""Жар-птица""";2025;875 068;582 476;0;15 423;0;0;0;1;0,66563544;0;0,01762434;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";2025;25 780 888;15 549 189;30 072;336 013;2 098 573;0;570 162;1;0,603128549;0,001166457;0,013033404;0,081400339;0;0,022115683;1;0,537;0,012;0,017;0,053;0,007;0,114
7707120908;"ГБУК г. Москвы ""ДМТЮА""";2025;78 349 145;52 509 325;2 431 844;861 825;7 229 139;0;6 307 438;1;0,670196531;0,031038552;0,010999802;0,092268251;0;0,080504242;1;0,537;0,012;0,017;0,053;0,007;0,114
7710081367;"ГБУК г. Москвы ""МАМТ""";2025;664 716 388;426 498 722;4 394 063;1 926 342;0;0;0;1;0,641625105;0,006610433;0,002897991;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";2025;110 303 927;18 173 476;16 873 780;261 846;14 390 127;3 951 556;1 522 277;1;0,164758198;0,152975337;0,002373858;0,130458878;0,035824254;0,013800754;1;0,537;0,012;0,017;0,053;0,007;0,114
7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";2025;197 036 000;105 675 661;1 708 750;15 325 984;36 258 824;0;6 173 584;1;0,536326666;0,008672272;0,077782661;0,184021316;0;0,031332264;1;0,537;0,012;0,017;0,053;0,007;0,114
7716149741;"ГБУК г. Москвы ""МГИЭТ""";2025;8 347 539;6 241 455;0;0;129 904;0;409 109;1;0,747699962;0;0;0,015561891;0;0,049009569;1;0,537;0,012;0,017;0,053;0,007;0,114
7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";2025;6 881 450;5 076 711;0;0;0;206 294;1 143 291;1;0,737738562;0;0;0;0,029978201;0,166140921;1;0,537;0,012;0,017;0,053;0,007;0,114
7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";2025;174 039 940;74 351 535;107 565;1 269 000;7 456 251;0;30 182 998;1;0,427209612;0,000618049;0,00729143;0,042842185;0;0,173425699;1;0,537;0,012;0,017;0,053;0,007;0,114
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";2025;327 593 867;165 192 171;6 484 189;966 121;13 949 877;0;22 256 996;1;0,504259046;0,019793376;0,002949141;0,042582838;0;0,06794082;1;0,537;0,012;0,017;0,053;0,007;0,114
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";2025;74 216 445;31 025 266;837 274;16 516 695;4 229 605;0;486 125;1;0,418037617;0,011281513;0,222547646;0,056990128;0;0,006550099;1;0,537;0,012;0,017;0,053;0,007;0,114
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";2025;59 037 921;24 971 933;435 940;5 404 818;3 984 799;2 607 232;8 874 101;1;0,422981234;0,007384068;0,091548244;0,067495591;0,044161981;0,150311888;1;0,537;0,012;0,017;0,053;0,007;0,114
7719013636;"ГБУК г. Москвы ""МДТТ""";2025;11 989 644;6 090 915;28 941;0;0;251 719;1 403 625;1;0,508014708;0,00241381;0;0;0,020994685;0,117069816;1;0,537;0,012;0,017;0,053;0,007;0,114
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";2025;242 078 723;173 293 261;4 595 265;3 452 010;548 778;0;12 972 909;1;0,715854986;0,018982522;0,014259865;0,002266939;0;0,053589627;1;0,537;0,012;0,017;0,053;0,007;0,114
7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";2025;5 209 054;3 630 627;0;0;0;0;392 116;1;0,696983881;0;0;0;0;0,075275763;1;0,537;0,012;0,017;0,053;0,007;0,114
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";2025;316 128 139;211 547 383;4 559 786;4 010 532;9 322 883;0;24 263 599;1;0,669182387;0,014423852;0,012686414;0,029490836;0;0,076752418;1;0,537;0,012;0,017;0,053;0,007;0,114
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";2025;475 889 135;254 647 932;453 962;562 550;858 844;4 148 307;28 441 549;1;0,535099277;0,000953924;0,001182104;0,001804714;0,008716962;0,059765073;1;0,537;0,012;0,017;0,053;0,007;0,114
7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";2025;441 419 452;269 350 621;5 138 938;0;10 038 873;0;115 493 055;1;0,610192008;0,011641847;0;0,022742253;0;0,261640158;1;0,537;0,012;0,017;0,053;0,007;0,114
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";2025;50 240 214;16 682 561;262 847;60 094;1 227 647;0;10 637 914;1;0,332055931;0,005231795;0,001196129;0,024435535;0;0,211741025;1;0,537;0,012;0,017;0,053;0,007;0,114
7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";2025;3 305 409;2 750 980;0;0;159 900;0;0;1;0,832266211;0;0;0,04837526;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";2025;117 817 972;57 174 695;1 191 678;0;8 129 218;0;5 855 037;1;0,485279912;0,010114571;0;0,068998111;0;0,04969562;1;0,537;0,012;0,017;0,053;0,007;0,114
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";2025;40 869 402;12 843 719;267 813;0;6 618 631;1 279 547;1 210 064;1;0,314262455;0,006552905;0;0,161945879;0,031308181;0,029608067;1;0,537;0,012;0,017;0,053;0,007;0,114
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";2025;68 743 873;53 982 968;0;0;0;0;6 607 788;1;0,785276789;0;0;0;0;0,09612184;1;0,537;0,012;0,017;0,053;0,007;0,114
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";2025;153 034 911;56 604 485;7 060 304;656 487;2 898 259;0;16 092 253;1;0,369879554;0,046135252;0,004289787;0,018938548;0;0,105154131;1;0,537;0,012;0,017;0,053;0,007;0,114
7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";2025;17 469 717;11 290 482;43 705;74 953;2 049 978;0;1 500 873;1;0,646288761;0,002501744;0,004290473;0,117344641;0;0,085912867;1;0,537;0,012;0,017;0,053;0,007;0,114
7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";2025;128 792 859;75 914 782;1 900;365 100;10 585 356;0;0;1;0,589433159;1,47524E-05;0,002834784;0,082188996;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";2025;52 860 911;28 234 629;1 635 765;0;4 582 408;0;5 370 798;1;0,534130588;0,030944705;0;0,08668802;0;0,101602447;1;0,537;0,012;0,017;0,053;0,007;0,114
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";2025;43 834 995;28 410 533;221 954;71 839;355 366;0;8 423 218;1;0,64812448;0,005063398;0,00163885;0,008106893;0;0,192157381;1;0,537;0,012;0,017;0,053;0,007;0,114
7710130279;"ГБУК г. Москвы ""МТЮЗ""";2025;187 582 323;125 098 676;59 650;176 535;11 497 185;0;23 083 893;1;0,666900134;0,000317994;0,000941107;0,06129141;0;0,123060068;1;0,537;0,012;0,017;0,053;0,007;0,114
7716028803;"ГБУК г. Москвы ""Новый драматический театр""";2025;15 798 251;6 910 887;48 576;100;445 585;0;2 923 712;1;0,437446353;0,003074769;6,32981E-06;0,028204731;0;0,185065573;1;0,537;0,012;0,017;0,053;0,007;0,114
7702069567;"ГБУК г. Москвы ""РДТ ""ГЛАС""";2025;2 178 995;360 579;520 425;0;567 120;0;0;1;0,165479258;0,238837063;0;0,260266758;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7710593781;"ГБУК г. Москвы ""Театр ""Практика""";2025;68 306 279;25 986 862;46 806;2 803 900;4 682 416;20 834 231;1 993 832;1;0,380446168;0,000685236;0,041048935;0,068550301;0,305011941;0,029189578;1;0,537;0,012;0,017;0,053;0,007;0,114
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";2025;97 822 352;61 876 632;0;0;5 996 041;0;16 196 047;1;0,632540831;0;0;0,061295203;0;0,165565907;1;0,537;0,012;0,017;0,053;0,007;0,114
7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";2025;71 322 331;26 250 214;1 201 321;844 580;1 101 887;0;10 053 938;1;0,368050417;0,016843547;0,011841734;0,01544939;0;0,140964799;1;0,537;0,012;0,017;0,053;0,007;0,114
7730519779;"ГБУК г. Москвы ""Театр кошек Куклачева""";2025;66 835 684;54 846 122;0;4 554 404;0;0;0;1;0,820611378;0;0,068143305;0;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7701199901;"ГБУК г. Москвы ""Театр марионеток""";2025;16 821 950;8 258 324;198 521;120 888;1 421 059;0;2 139 832;1;0,490925493;0,011801285;0,007186325;0,084476458;0;0,12720473;1;0,537;0,012;0,017;0,053;0,007;0,114
7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";2025;304 626 683;166 818 072;3 953 692;2 411 550;1 721 787;0;35 909 019;1;0,547614772;0,01297881;0,007916411;0,00565212;0;0,117878772;1;0,537;0,012;0,017;0,053;0,007;0,114
7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";2025;122 508 438;35 774 179;446 709;187 928;12 774 738;0;4 418 003;1;0,292013997;0,003646351;0,001533998;0,104276392;0;0,036062848;1;0,537;0,012;0,017;0,053;0,007;0,114
7701045549;"ГБУК г. Москвы ""Театр на Покровке""";2025;18 682 435;12 270 935;1 381;44 377;262 260;0;1 132 096;1;0,656816662;7,38994E-05;0,002375333;0,014037806;0;0,060596787;1;0,537;0,012;0,017;0,053;0,007;0,114
7707064139;"ГБУК г. Москвы ""Театр на Трубной""";2025;133 629 485;58 887 081;0;964 518;14 538 838;0;24 622 459;1;0,440674312;0;0,00721785;0,108799624;0;0,184259181;1;0,537;0,012;0,017;0,053;0,007;0,114
7729217597;"ГБУК г. Москвы ""Театр на Юго-Западе""";2025;62 143 040;43 823 685;168 814;0;1 747 795;0;7 190 716;1;0,705206643;0,002716533;0;0,028125354;0;0,115712323;1;0,537;0,012;0,017;0,053;0,007;0,114
7701117909;"ГБУК г. Москвы ""Театр Олега Табакова""";2025;321 205 477;197 031 016;2 599 630;6 780 400;19 945 447;595 810;37 042 423;1;0,613411137;0,008093355;0,02110923;0,062095602;0,001854919;0,115323138;1;0,537;0,012;0,017;0,053;0,007;0,114
7723316672;"ГБУК г. Москвы ""Театр Стаса Намина""";2025;38 264 922;18 623 889;20 582;0;1 635 005;0;3 265 935;1;0,486709193;0,000537892;0;0,042728572;0;0,085350622;1;0,537;0,012;0,017;0,053;0,007;0,114
7725054895;"ГБУК г. Москвы ""Театр Терезы Дуровой""";2025;219 600 319;111 985 698;480 000;31 044 908;520 650;15 560 542;29 430 018;1;0,509952347;0,002185789;0,141370052;0,002370897;0,070858467;0,134016281;1;0,537;0,012;0,017;0,053;0,007;0,114
7707085202;"ГБУК г. Москвы ""Театр Эрмитаж""";2025;71 657 448;48 060 810;1 044 500;0;1 548 726;0;9 283 538;1;0,670702233;0,014576298;0;0,021612912;0;0,129554403;1;0,537;0,012;0,017;0,053;0,007;0,114
7730116466;"ГБУК г. Москвы ""ФЦ ""Москва""";2025;36 583 895;15 452 061;96 992;4 074 964;4 825 780;195 000;1 823 678;1;0,422373318;0,002651221;0,111386837;0,131909958;0,005330214;0,049849193;1;0,537;0,012;0,017;0,053;0,007;0,114
7722284474;"ГБУК г. Москвы ""Центр драматургии и режиссуры""";2025;32 835 648;14 323 082;178 814;131 639;7 755 244;0;1 043 638;1;0,436205242;0,005445728;0,004009012;0,236183685;0;0,031783686;1;0,537;0,012;0,017;0,053;0,007;0,114
7704198381;"ГБУК г. Москвы ""Центр исполнительских искусств на Добрынинской""";2025;52 416 187;31 531 195;97 365;2 943;9 064 653;1 978 136;3 218 741;1;0,601554524;0,001857536;5,61472E-05;0,172936132;0,037739028;0,061407376;1;0,537;0,012;0,017;0,053;0,007;0,114
7714035227;"ГБУК г. Москвы ""Цыганский театр ""Ромэн""";2025;17 029 386;8 852 045;56 093;0;185 350;876 563;3 144 637;1;0,519809996;0,003293865;0;0,010884127;0,051473522;0,184659467;1;0,537;0,012;0,017;0,053;0,007;0,114
7702619852;"ГБУК г. Москвы ""Школа драматического искусства""";2025;44 218 902;27 404 039;1 235 810;0;1 219 491;0;2 867 207;1;0,619735862;0,027947539;0;0,0275785;0;0,064841204;1;0,537;0,012;0,017;0,053;0,007;0,114
7704224472;"ГБУК г. Москвы ДДТ ""На набережной""";2025;1 536 139;664 096;0;0;325 602;0;0;1;0,4323153;0;0;0,211960978;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7728039292;"ГБУК г. Москвы МДТ ""Бенефис""";2025;3 220 892;2 191 899;780;0;39 000;0;669 010;1;0,680525561;0,000242169;0;0,012108448;0;0,207709613;1;0,537;0,012;0,017;0,053;0,007;0,114
7735026248;"ГБУК г.Москвы ""Ведогонь-театр""";2025;46 097 907;26 751 963;482 058;1 645 000;474 559;5 046 370;1 844 933;1;0,580329222;0,010457253;0,035684917;0,010294589;0,109470686;0,040022046;1;0,537;0,012;0,017;0,053;0,007;0,114
7701258410;"ГБУК г.Москвы ""Московский музыкальный театр ""На Басманной""";2025;5 430 292;1 993 392;32 615;209 787;67 000;0;1 240 027;1;0,367087516;0,006006122;0,038632808;0,012338194;0;0,228353727;1;0,537;0,012;0,017;0,053;0,007;0,114
7703002886;"ГБУК г.Москвы ""Московский театр ""Мастерская П.Н. Фоменко""";2025;418 720 715;278 225 636;4 350 517;3 393 803;6 329 418;0;30 869 740;1;0,664465899;0,010390021;0,008105172;0,015116086;0;0,073723937;1;0,537;0,012;0,017;0,053;0,007;0,114
7708107804;"ГБУК г.Москвы ""МТДК ""Волшебная лампа""";2025;3 020 562;1 981 051;0;0;0;0;889 191;1;0,65585512;0;0;0;0;0,294379269;1;0,537;0,012;0,017;0,053;0,007;0,114
7710040730;"ГБУК г.Москвы ""Театр им. Моссовета""";2025;413 039 346;238 639 970;1 633 444;164 000;26 277 219;0;32 396 237;1;0,577765708;0,003954693;0,000397057;0,063619166;0;0,07843378;1;0,537;0,012;0,017;0,053;0,007;0,114
7702078561;"ГБУК г.Москвы ""Театр Музыки и Поэзии п/р Е.Камбуровой""";2025;22 598 553;9 469 665;13 043;37 460;7 138 904;0;0;1;0,41903855;0,000577161;0,001657634;0,315900926;0;0;1;0,537;0,012;0,017;0,053;0,007;0,114
7704249283;"ГБУК МТ ""Новая Опера"" им. Е.В.Колобова";2025;160 799 473;63 471 892;9 035 434;6 011 433;6 869 454;1 558 523;3 433 671;1;0,394726991;0,056190696;0,037384656;0,042720626;0,009692338;0,021353742;1;0,537;0,012;0,017;0,053;0,007;0,114
7701046341;"""Московский театр ""Современник""";2024;570 527 430;255 914 452;14 483 761;18 489 313;78 102 618;0;110 513 153;1;0,448557666;0,025386617;0,032407405;0,136895466;0;0,193703488;1;0,5288;0,0147;0,0144;0,0502;0,0094;0,0949
7701109200;"ГАУК г. Москвы ""МОТК""";2024;10 115 547;7 395 483;487 762;0;0;0;0;1;0,731100676;0,048219075;0;0;0;0;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
7707086767;"ГБУК ""МГАТО""";2024;972 463 625;406 394 692;5 130 471;769 531;60 476 836;0;294 630 465;1;0,417902204;0,005275746;0,000791321;0,062189304;0;0,30297325;1;0,528814;0,014707;0,014403;0,050214;0,009433;0,094921
