id;title;year;total value;property value;tickets value;advertising value;touringvalue;total share;property share;tickets share;advertising share;touring share;total avgShare;property avgShare;tickets avgShare;advertising avgShare;touring avgShare
7701046341;"""Московский театр ""Современник""";2025;402 002 837;9 818 171;375 524 493;0;10 900 000;1;0,024423138;0,934133937;0;0,027114237;1;0,053349;0,819732;0,004587;0,026351
7707086767;"ГБУК ""МГАТО""";2025;688 823 232;5 441 132;668 292 634;0;0;1;0,00789917;0,970194678;0;0;1;0,053349;0,819732;0,004587;0,026351
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";2025;197 904 521;32 304 703;143 516 469;0;5 400 000;1;0,163233778;0,725180345;0;0,027285885;1;0,053349;0,819732;0,004587;0,026351
7703014835;"ГБУК ""Московский театр ""На досках""";2025;3 734 430;0;2 392 040;0;0;1;0;0,640536856;0;0;1;0,053349;0,819732;0,004587;0,026351
7701020760;"ГБУК ""МТК ""Жар-птица""";2025;904 449;0;904 449;0;0;1;0;1;0;0;1;0,053349;0,819732;0,004587;0,026351
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";2025;31 070 928;4 011 303;15 106 141;0;0;1;0,1291015;0,486182481;0;0;1;0,053349;0,819732;0,004587;0,026351
7707120908;"ГБУК г. Москвы ""ДМТЮА""";2025;75 420 652;0;64 927 490;0;1 639 840;1;0;0,860871503;0;0,021742586;1;0,053349;0,819732;0,004587;0,026351
7710081367;"ГБУК г. Москвы ""МАМТ""";2025;419 685 663;18 440 404;347 367 836;0;7 359 490;1;0,043938608;0,827685735;0;0,017535718;1;0,053349;0,819732;0,004587;0,026351
7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";2025;108 669 294;0;26 195 506;0;66 253 988;1;0;0,24105711;0;0,609684536;1;0,053349;0,819732;0,004587;0,026351
7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";2025;166 333 316;13 088 325;100 975 455;319 500;12 092 880;1;0,078687331;0,607066927;0,001920842;0,072702693;1;0,053349;0,819732;0,004587;0,026351
7716149741;"ГБУК г. Москвы ""МГИЭТ""";2025;9 955 170;640 320;8 971 139;0;0;1;0,064320351;0,90115378;0;0;1;0,053349;0,819732;0,004587;0,026351
7709264045;"ГБУК г. Москвы ""МД ""Сказочный театр""";2025;6 123 700;147 704;5 988 026;0;0;1;0,024120044;0,977844517;0;0;1;0,053349;0,819732;0,004587;0,026351
7701127897;"ГБУК г. Москвы ""МДТ ""Модернъ""";2025;138 915 667;1 464 226;136 936 385;0;0;1;0,010540392;0,985751912;0;0;1;0,053349;0,819732;0,004587;0,026351
7703035553;"ГБУК г. Москвы ""МДТ им. А.С. Пушкина""";2025;318 605 362;13 412 609;287 890 850;0;3 900 000;1;0,042097876;0,903597002;0;0,012240849;1;0,053349;0,819732;0,004587;0,026351
7710009515;"ГБУК г. Москвы ""МДТ им. К.С. Станиславского""";2025;37 553 368;26 532 937;11 506 867;0;0;1;0,706539468;0,306413706;0;0;1;0,053349;0,819732;0,004587;0,026351
7709018353;"ГБУК г. Москвы ""МДТ им. Н.В. Гоголя""";2025;65 126 996;13 169 085;46 127 902;5 100 000;610 980;1;0,202206237;0,708276218;0,07830854;0,009381363;1;0,053349;0,819732;0,004587;0,026351
7719013636;"ГБУК г. Москвы ""МДТТ""";2025;13 406 731;0;12 848 233;0;0;1;0;0,958342016;0;0;1;0,053349;0,819732;0,004587;0,026351
7703063504;"ГБУК г. Москвы ""ММТ ""Геликон-опера""";2025;211 319 178;14 162 338;111 162 429;0;4 376 600;1;0,067018707;0,52604042;0;0,020710851;1;0,053349;0,819732;0,004587;0,026351
7715049230;"ГБУК г. Москвы ""ММЭТ п/р В.Спесивцева""";2025;8 241 872;0;8 281 007;0;0;1;0;1,004748315;0;0;1;0,053349;0,819732;0,004587;0,026351
7703025812;"ГБУК г. Москвы ""Московский академический театр им. Вл. Маяковского""";2025;316 130 868;16 504 113;265 313 930;0;7 646 000;1;0,052206586;0,839253478;0;0,024186186;1;0,053349;0,819732;0,004587;0,026351
7710002492;"ГБУК г. Москвы ""Московский академический театр сатиры""";2025;280 270 370;9 203 554;257 967 767;0;3 250 000;1;0,032838128;0,920424685;0;0,011595946;1;0,053349;0,819732;0,004587;0,026351
7707062124;"ГБУК г. Москвы ""Московский государственный театр ""Ленком Марка Захарова""";2025;359 765 780;20 889 471;328 155 267;0;8 204 000;1;0,058064086;0,912135854;0;0,022803725;1;0,053349;0,819732;0,004587;0,026351
7721032971;"ГБУК г. Москвы ""Московский детский музыкально-драматический театр""";2025;54 414 656;0;54 542 255;0;0;1;0;1,002344938;0;0;1;0,053349;0,819732;0,004587;0,026351
7703127934;"ГБУК г. Москвы ""Московский драматический театр ""Человек""";2025;3 634 503;110 000;3 503 503;0;0;1;0,030265488;0,963956555;0;0;1;0,053349;0,819732;0,004587;0,026351
7707098113;"ГБУК г. Москвы ""Московский театр ""ЕТС""";2025;134 305 052;9 796 838;76 397 521;0;3 585 250;1;0,07294467;0,568835795;0;0,026694826;1;0,053349;0,819732;0,004587;0,026351
7720056169;"ГБУК г. Москвы ""Московский театр иллюзии""";2025;40 095 826;601 505;37 750 941;0;1 125 000;1;0,015001686;0,941517981;0;0,028057784;1;0,053349;0,819732;0,004587;0,026351
7701109200;"ГБУК г. Москвы ""Московский театр кукол""";2025;74 541 087;454 492;73 716 023;0;0;1;0,006097199;0,988931415;0;0;1;0,053349;0,819732;0,004587;0,026351
7709010548;"ГБУК г. Москвы ""Московский театр на Таганке""";2025;204 411 200;26 878 304;183 639 712;0;1 521 000;1;0,131491347;0,898383807;0;0,007440884;1;0,053349;0,819732;0,004587;0,026351
7703068710;"ГБУК г. Москвы ""Московский театр ОКОЛО""";2025;18 467 633;62 370;18 285 117;0;130 000;1;0,00337726;0,990116979;0;0,007039343;1;0,053349;0,819732;0,004587;0,026351
7706089941;"ГБУК г. Москвы ""Московский театр Эстрады""";2025;114 524 737;76 328 832;0;0;0;1;0,666483364;0;0;0;1;0,053349;0,819732;0,004587;0,026351
7703093185;"ГБУК г. Москвы ""МТ ""У Никитских ворот""";2025;52 050 224;0;42 347 144;0;0;1;0;0,813582356;0;0;1;0,053349;0,819732;0,004587;0,026351
7704132084;"ГБУК г. Москвы ""МТЦ ""Вишневый сад"" п/р А. Вилькина""";2025;38 445 735;4 579 797;32 889 280;0;0;1;0,119123677;0,855472781;0;0;1;0,053349;0,819732;0,004587;0,026351
7710130279;"ГБУК г. Москвы ""МТЮЗ""";2025;170 117 936;3 372 457;156 382 160;0;7 255 600;1;0,019824228;0,919257335;0;0,042650412;1;0,053349;0,819732;0,004587;0,026351
7716028803;"ГБУК г. Москвы ""Новый драматический театр""";2025;30 140 331;912 275;26 544 740;0;959 050;1;0,030267568;0,880704999;0;0,031819492;1;0,053349;0,819732;0,004587;0,026351
7702069567;"ГБУК г. Москвы ""РДТ ""ГЛАС""";2025;5 894 186;0;5 352 194;0;0;1;0;0,908046397;0;0;1;0,053349;0,819732;0,004587;0,026351
7710593781;"ГБУК г. Москвы ""Театр ""Практика""";2025;59 130 739;267 497;42 353 072;0;3 422 190;1;0,004523818;0,716261493;0;0,057874974;1;0,053349;0,819732;0,004587;0,026351
7702061293;"ГБУК г. Москвы ""Театр ""Уголок дедушки Дурова""";2025;88 145 206;1 888 448;86 273 550;0;0;1;0,021424289;0,978766214;0;0;1;0,053349;0,819732;0,004587;0,026351
7726073570;"ГБУК г. Москвы ""Театр ""Шалом""";2025;91 194 532;4 999 859;58 928 150;7 000 000;1 478 773;1;0,054826308;0,646180741;0,076758988;0,016215593;1;0,053349;0,819732;0,004587;0,026351
7730519779;"ГБУК г. Москвы ""Театр кошек Куклачева""";2025;67 118 338;0;63 453 119;0;1 420 000;1;0;0,945391684;0;0,021156662;1;0,053349;0,819732;0,004587;0,026351
7701199901;"ГБУК г. Москвы ""Театр марионеток""";2025;18 835 142;32 178;18 758 209;0;0;1;0,001708402;0,99591541;0;0;1;0,053349;0,819732;0,004587;0,026351
7703001970;"ГБУК г. Москвы ""Театр на Малой Бронной""";2025;341 373 707;8 807 621;333 637 046;0;0;1;0,025800525;0,977336681;0;0;1;0,053349;0,819732;0,004587;0,026351
7710018171;"ГБУК г. Москвы ""Театр на Малой Ордынке""";2025;124 497 735;5 526 272;67 953 844;0;4 618 696;1;0,044388534;0,545823933;0;0,037098635;1;0,053349;0,819732;0,004587;0,026351
7701045549;"ГБУК г. Москвы ""Театр на Покровке""";2025;13 637 462;0;13 019 066;0;0;1;0;0,954654612;0;0;1;0,053349;0,819732;0,004587;0,026351
7707064139;"ГБУК г. Москвы ""Театр на Трубной""";2025;126 275 860;4 014 938;113 769 874;0;0;1;0,031794974;0,900962969;0;0;1;0,053349;0,819732;0,004587;0,026351
7729217597;"ГБУК г. Москвы ""Театр на Юго-Западе""";2025;67 839 484;750 000;61 768 695;0;5 007 013;1;0,011055509;0,910512459;0;0,073806762;1;0,053349;0,819732;0,004587;0,026351
7701117909;"ГБУК г. Москвы ""Театр Олега Табакова""";2025;256 662 661;966 107;215 039 065;20 490 000;8 275 000;1;0,003764112;0,837827616;0,079832415;0,032240763;1;0,053349;0,819732;0,004587;0,026351
7723316672;"ГБУК г. Москвы ""Театр Стаса Намина""";2025;46 716 256;0;35 269 399;0;0;1;0;0,754970572;0;0;1;0,053349;0,819732;0,004587;0,026351
7725054895;"ГБУК г. Москвы ""Театр Терезы Дуровой""";2025;175 903 300;0;169 928 225;1 560 882;4 351 362;1;0;0,966032046;0,008873523;0,024737237;1;0,053349;0,819732;0,004587;0,026351
7707085202;"ГБУК г. Москвы ""Театр Эрмитаж""";2025;70 858 548;0;66 663 266;0;0;1;0;0,940793567;0;0;1;0,053349;0,819732;0,004587;0,026351
7730116466;"ГБУК г. Москвы ""ФЦ ""Москва""";2025;41 329 886;18 125 356;12 787 296;0;0;1;0,438553259;0,309395865;0;0;1;0,053349;0,819732;0,004587;0,026351
7722284474;"ГБУК г. Москвы ""Центр драматургии и режиссуры""";2025;30 377 137;1 316 736;28 379 458;0;0;1;0,043346295;0,934237392;0;0;1;0,053349;0,819732;0,004587;0,026351
7704198381;"ГБУК г. Москвы ""Центр исполнительских искусств на Добрынинской""";2025;49 669 145;12 422 606;21 558 231;0;0;1;0,250107111;0,43403668;0;0;1;0,053349;0,819732;0,004587;0,026351
7714035227;"ГБУК г. Москвы ""Цыганский театр ""Ромэн""";2025;22 896 503;231 950;22 676 081;0;0;1;0,010130368;0,990373116;0;0;1;0,053349;0,819732;0,004587;0,026351
7702619852;"ГБУК г. Москвы ""Школа драматического искусства""";2025;31 585 120;4 038 021;21 074 994;0;1 934 500;1;0,127845666;0,667244386;0;0,061247195;1;0,053349;0,819732;0,004587;0,026351
7704224472;"ГБУК г. Москвы ДДТ ""На набережной""";2025;1 813 510;0;1 190 210;0;0;1;0;0,656301906;0;0;1;0,053349;0,819732;0,004587;0,026351
7728039292;"ГБУК г. Москвы МДТ ""Бенефис""";2025;3 131 772;3 000;3 398 372;0;0;1;0,000957924;1,085127425;0;0;1;0,053349;0,819732;0,004587;0,026351
7735026248;"ГБУК г.Москвы ""Ведогонь-театр""";2025;31 784 749;0;28 256 515;0;0;1;0;0,888996019;0;0;1;0,053349;0,819732;0,004587;0,026351
7701258410;"ГБУК г.Москвы ""Московский музыкальный театр ""На Басманной""";2025;6 090 757;500 000;5 590 757;0;0;1;0,082091602;0,917908398;0;0;1;0,053349;0,819732;0,004587;0,026351
7703002886;"ГБУК г.Москвы ""Московский театр ""Мастерская П.Н. Фоменко""";2025;435 140 777;1 293 640;315 153 280;0;6 446 900;1;0,002972923;0,724255911;0;0,014815665;1;0,053349;0,819732;0,004587;0,026351
7708107804;"ГБУК г.Москвы ""МТДК ""Волшебная лампа""";2025;3 356 790;0;3 340 100;0;0;1;0;0,995027911;0;0;1;0,053349;0,819732;0,004587;0,026351
7710040730;"ГБУК г.Москвы ""Театр им. Моссовета""";2025;303 988 594;8 952 458;277 729 768;0;9 423 496;1;0,029449982;0,913619043;0;0,030999505;1;0,053349;0,819732;0,004587;0,026351
7702078561;"ГБУК г.Москвы ""Театр Музыки и Поэзии п/р Е.Камбуровой""";2025;22 678 500;955 000;22 041 000;0;0;1;0,042110369;0,971889675;0;0;1;0,053349;0,819732;0,004587;0,026351
7704249283;"ГБУК МТ ""Новая Опера"" им. Е.В.Колобова";2025;182 225 136;3 509 589;112 807 112;0;5 444 720;1;0,019259629;0,619053521;0;0,029879083;1;0,053349;0,819732;0,004587;0,026351
7701046341;"""Московский театр ""Современник""";2024;672 024 611;15 264 460;637 779 960;229 759;13 125 000;1;0,022714139;0,949042564;0,000341891;0,019530535;1;0,04656;0,79098;0,006682;0,033838
7701109200;"ГАУК г. Москвы ""МОТК""";2024;11 285 498;0;11 040 303;0;0;1;0;0,978273453;0;0;1;0,04656;0,79098;0,006682;0,033838
7707086767;"ГБУК ""МГАТО""";2024;1 204 714 217;1 219 779;1 194 083 542;0;0;1;0,001012505;0,991175771;0;0;1;0,04656;0,79098;0,006682;0,033838
7710143327;"ГБУК ""МДТ им. М.Н. Ермоловой""";2024;393 132 614;41 703 480;303 428 579;563 280;16 200 000;1;0,106079931;0,771822454;0,001432799;0,041207469;1;0,04656;0,79098;0,006682;0,033838
7703014835;"ГБУК ""Московский театр ""На досках""";2024;5 289 150;0;3 234 200;0;0;1;0;0,611478222;0;0;1;0,04656;0,79098;0,006682;0,033838
7701020760;"ГБУК ""МТК ""Жар-птица""";2024;2 941 187;0;1 701 149;0;0;1;0;0,578388552;0;0;1;0,04656;0,79098;0,006682;0,033838
7710042865;"ГБУК г. Москвы ""Детский театр эстрады""";2024;55 201 376;6 836 579;21 290 699;0;0;1;0,123847976;0,385691462;0;0;1;0,04656;0,79098;0,006682;0,033838
7707120908;"ГБУК г. Москвы ""ДМТЮА""";2024;122 590 784;0;111 620 692;0;177 100;1;0;0,910514546;0;0,001444644;1;0,04656;0,79098;0,006682;0,033838
7710081367;"ГБУК г. Москвы ""МАМТ""";2024;909 456 802;39 693 170;787 892 631;0;4 583 978;1;0,04364492;0,86633321;0;0,005040347;1;0,04656;0,79098;0,006682;0,033838
7704060947;"ГБУК г. Москвы ""Мастерская ""12"" Никиты Михалкова""";2024;311 070 990;0;22 473 042;0;204 066 614;1;0;0,072244095;0;0,656013002;1;0,04656;0,79098;0,006682;0,033838
7714039052;"ГБУК г. Москвы ""МГАТ ""Русская песня""";2024;360 448 300;36 015 625;183 485 199;1 053 900;29 278 295;1;0,099918975;0,509047205;0,002923859;0,081227446;1;0,04656;0,79098;0,006682;0,033838
