ID_театра;Год;Месяц;Выручка;Количество
7703035553;2023;1; 941 020 823,00 ; 453 216,00 
7703035553;2023;2; 880 692 559,00 ; 420 213,00 
7703035553;2023;3; 922 546 989,00 ; 459 321,00 
7703035553;2023;4; 619 577 710,00 ; 300 885,00 
7703035553;2023;5; 525 550 950,00 ; 260 681,00 
7703035553;2023;6; 409 233 950,00 ; 203 775,00 
7703035553;2023;7; 355 926 088,00 ; 157 165,00 
7703035553;2023;8; 312 647 184,00 ; 143 498,00 
7703035553;2023;9; 809 765 057,00 ; 365 773,00 
7703035553;2023;10; 1 277 851 782,00 ; 573 891,00 
7703035553;2023;11; 1 435 704 749,00 ; 615 760,00 
7703035553;2023;12; 1 218 067 412,00 ; 490 826,00 
7703035553;2024;1; 1 124 391 113,00 ; 480 838,00 
7703035553;2024;2; 1 086 125 766,00 ; 463 324,00 
7703035553;2024;3; 849 299 605,00 ; 371 116,00 
7703035553;2024;4; 691 334 250,00 ; 313 736,00 
7703035553;2024;5; 590 779 186,00 ; 272 601,00 
7703035553;2024;6; 486 003 999,00 ; 227 491,00 
7703035553;2024;7; 402 678 535,00 ; 163 790,00 
7703035553;2024;8; 418 915 520,00 ; 173 925,00 
7703035553;2024;9; 931 414 399,00 ; 392 692,00 
7703035553;2024;10; 1 496 304 140,00 ; 599 724,00 
7703035553;2024;11; 1 714 564 326,00 ; 634 230,00 
7703035553;2024;12; 1 518 146 362,00 ; 527 295,00 
7703035553;2025;1; 1 276 365 635,00 ; 497 581,00 
7703035553;2025;2; 1 218 307 386,00 ; 442 740,00 
7703035553;2025;3; 1 120 907 097,00 ; 426 180,00 
7703035553;2025;4; 893 287 196,00 ; 356 497,00 
7703035553;2025;5; 690 025 030,00 ; 287 647,00 
7703035553;2025;6; 418 588 978,00 ; 178 599,00 